,location,BHK,total_sqft,bath,price
83,Somwar Peth,3,1325.0,2.0,60.8
84,Swargate,3,1499.0,5.0,102.0
86,Uruli Devachi,3,1665.0,3.0,88.0
87,Vadgaon Budruk,2,708.0,2.0,37.0
88,Wadgaon Sheri,2,1060.0,2.0,58.06
90,Vishrant Wadi,2,1000.0,2.0,70.0
91,Wagholi,2,1000.0,2.0,28.88
92,Wakadewadi,3,1450.0,2.0,70.0
94,Warje,2,1296.0,2.0,80.0
95,Yerawada,3,1540.0,3.0,90.0
97,Ambegaon Budruk,3,1330.0,2.0,48.0
98,Anandnagar,2,1200.0,2.0,65.0
99,Aundh,3,1200.0,3.0,90.0
100,Aundh Road,3,2502.0,3.0,138.0
101,Balaji Nagar,2,650.0,1.0,17.0
102,Baner,3,2400.0,2.0,150.0
103,Baner road,2,1007.0,2.0,43.0
104,Bhandarkar Road,2,1200.0,2.0,50.0
105,Bhavani Peth,2,966.0,2.0,49.9
106,Bibvewadi,3,1630.0,2.0,98.0
108,Budhwar Peth,2,782.0,2.0,55.68
109,Bund Garden Road,2,1260.0,2.0,66.78
110,Camp,3,1800.0,3.0,120.0
111,Chandan Nagar,3,1413.0,2.0,75.0
112,Dapodi,2,1116.0,2.0,51.91
113,Deccan Gymkhana,3,1530.0,2.0,45.9
115,Dhankawadi,3,2497.0,3.0,140.0
116,Dhayari Phata,3,1540.0,2.0,64.0
117,Dhole Patil Road,3,1436.0,3.0,74.75
118,Erandwane,2,1100.0,2.0,75.0
119,Fatima Nagar,2,276.0,3.0,23.0
120,Fergusson College Road,3,1427.0,3.0,120.0
121,Ganesh Peth,3,2061.0,3.0,200.0
124,Ghorpadi,3,1282.0,2.0,68.52
125,Gokhale Nagar,2,1050.0,2.0,34.0
126,Gultekdi,3,1600.0,3.0,65.0
127,Guruwar peth,2,945.0,2.0,54.0
128,Hadapsar,2,1500.0,2.0,78.0
130,Hingne Khurd,3,1870.0,3.0,110.0
131,Jangali Maharaj Road,3,1600.0,3.0,75.0
132,Kalyani Nagar,2,880.0,1.0,16.5
134,Karve Road,3,1535.0,3.0,83.0
135,Kasba Peth,2,950.0,2.0,57.0
136,Katraj,2,1360.0,2.0,65.0
137,Khadaki,2,1073.5,2.0,54.005
138,Khadki,3,1280.0,3.0,50.4
139,Kharadi,3,1260.0,2.0,85.05
142,Kondhwa Khurd,3,1563.05,3.0,105.0
143,Koregaon Park,2,1000.0,2.0,60.0
144,Kothrud,2,1167.0,2.0,43.76
146,Laxmi Road,3,1828.0,3.0,110.0
147,Lulla Nagar,2,890.0,2.0,35.0
148,Mahatma Gandhi Road,3,1612.0,3.0,46.74
150,Manik Bagh,3,1710.0,4.0,91.31
151,Market yard,2,957.0,2.0,58.0
152,Model colony,3,1250.0,2.0,44.0
154,Mundhawa,2,1125.0,2.0,50.0
155,Nagar Road,2,1020.0,2.0,30.6
156,Nana Peth,2,1200.0,2.0,50.0
157,Narayan Peth,3,1735.0,3.0,135.0
158,Narayangaon,3,2050.0,3.0,145.0
160,Padmavati,3,1350.0,2.0,48.0
161,Parvati Darshan,2,1063.0,2.0,32.0
162,Pashan,3,1904.0,3.0,150.0
164,Pirangut,3,2000.0,3.0,175.0
165,Prabhat Road,2,1242.5,2.0,43.49
166,Pune Railway Station,3,1425.0,2.0,75.0
167,Rasta Peth,3,1500.0,2.0,64.5
168,Raviwar Peth,2,1060.0,2.0,60.0
169,Sadashiv Peth,3,1470.0,2.0,70.0
170,Sahakar Nagar,6,1300.0,6.0,99.0
171,Salunke Vihar,1,450.0,1.0,11.0
172,Sasson Road,2,1152.0,2.0,64.5
173,Satara Road,3,1350.0,2.0,56.0
174,Senapati Bapat Road,3,1550.0,3.0,65.0
175,Shaniwar Peth,3,1500.0,3.0,100.0
177,Shukrawar Peth,1,400.0,1.0,14.0
178,Sinhagad Road,1,705.0,1.0,67.0
179,Somwar Peth,2,770.0,1.0,36.0
180,Swargate,2,1242.0,2.0,51.0
181,Tilak Road,3,1700.0,3.0,155.0
182,Uruli Devachi,3,2144.0,3.0,145.0
183,Vadgaon Budruk,3,1704.0,3.0,110.0
184,Wadgaon Sheri,2,1070.0,2.0,52.0
186,Vishrant Wadi,2,1340.0,2.0,55.7
187,Wagholi,2,1025.0,2.0,46.0
188,Wakadewadi,2,1277.5,2.0,56.8
189,Wanowrie,2,1200.0,2.0,52.0
190,Warje,4,2250.0,4.0,110.0
191,Yerawada,3,1550.0,2.0,80.0
194,Anandnagar,2,1200.0,2.0,60.0
195,Aundh,2,1327.0,2.0,98.0
196,Aundh Road,2,1186.0,2.0,58.0
197,Balaji Nagar,3,1783.0,3.0,115.0
198,Baner,3,1400.0,3.0,56.0
199,Baner road,2,980.0,2.0,48.0
200,Bhandarkar Road,2,1285.0,2.0,82.0
201,Bhavani Peth,3,912.0,2.0,70.0
202,Bibvewadi,2,1225.0,2.0,47.6
203,Bopodi,2,1075.0,2.0,53.0
204,Budhwar Peth,3,1260.0,2.0,54.0
205,Bund Garden Road,3,1282.0,2.0,48.7
206,Camp,3,1909.0,3.0,88.0
207,Chandan Nagar,2,1359.0,2.0,87.0
208,Dapodi,2,1207.0,2.0,43.5
209,Deccan Gymkhana,4,1736.0,6.0,190.0
211,Dhankawadi,3,1595.0,3.0,65.0
212,Dhayari Phata,3,1798.0,3.0,89.0
213,Dhole Patil Road,3,1475.0,3.0,78.29
214,Erandwane,3,1580.0,3.0,100.0
215,Fatima Nagar,2,1295.0,2.0,65.0
217,Ganesh Peth,1,589.0,1.0,27.0
218,Ganeshkhind,3,1415.0,3.0,78.0
219,Ghorpade Peth,3,1787.0,3.0,98.29
220,Ghorpadi,3,1787.0,3.0,125.0
221,Gokhale Nagar,3,1475.0,2.0,90.0
222,Gultekdi,4,2000.0,4.0,75.5
223,Guruwar peth,2,984.0,2.0,44.28
224,Hadapsar,3,1630.0,2.69,74.82
225,Hadapsar Industrial Estate,3,2405.0,4.0,260.0
226,Hingne Khurd,2,1080.0,2.0,72.0
227,Jangali Maharaj Road,2,1500.0,2.0,115.0
228,Kalyani Nagar,3,1900.0,3.0,119.0
229,Karve Nagar,2,805.0,2.0,22.14
230,Karve Road,2,1153.0,2.0,56.4
231,Kasba Peth,2,1148.0,2.0,60.0
232,Katraj,2,1110.0,2.0,55.0
233,Khadaki,2,1100.0,2.0,42.0
234,Khadki,2,1290.0,2.0,110.0
235,Kharadi,3,1500.0,2.0,65.0
236,Kondhwa,2,1080.0,2.0,39.0
237,Kondhwa Budruk,3,1933.0,3.0,129.0
239,Koregaon Park,2,1060.0,2.0,60.0
240,Kothrud,1,645.0,1.0,16.45
242,Laxmi Road,1,645.0,1.0,16.45
243,Lulla Nagar,3,1644.0,3.0,84.0
244,Mahatma Gandhi Road,2,1285.0,2.0,72.5
245,Mangalwar peth,3,1200.0,3.0,90.0
246,Manik Bagh,2,910.0,2.0,40.0
247,Market yard,3,1577.0,3.0,70.0
249,Mukund Nagar,3,2420.0,3.0,185.0
250,Mundhawa,2,800.0,1.0,20.0
251,Nagar Road,2,1060.0,2.0,55.0
252,Nana Peth,2,1270.0,2.0,93.0
253,Narayan Peth,2,900.0,2.0,22.5
254,Narayangaon,2,1280.0,2.0,69.0
255,Navi Peth,4,1200.0,2.0,95.0
256,Padmavati,2,1025.0,2.0,36.0
257,Parvati Darshan,2,1108.0,2.0,63.0
261,Prabhat Road,3,1500.0,3.0,75.5
262,Pune Railway Station,2,1295.0,2.0,43.9
263,Rasta Peth,2,1162.0,2.0,59.9
264,Raviwar Peth,2,1035.0,2.0,49.2
265,Sadashiv Peth,4,1600.0,4.0,52.8
266,Sahakar Nagar,3,1464.0,3.0,46.0
267,Salunke Vihar,3,1866.0,2.0,61.58
268,Sasson Road,2,700.0,1.0,26.0
269,Satara Road,3,1804.0,3.0,120.0
270,Senapati Bapat Road,2,913.0,2.0,32.0
271,Shaniwar Peth,3,1868.0,3.0,131.0
272,Shivaji Nagar,2,883.0,2.0,45.0
274,Sinhagad Road,3,1664.0,2.0,73.95
275,Somwar Peth,3,2026.0,3.0,132.0
276,Swargate,2,1210.0,2.0,80.9
278,Uruli Devachi,3,1762.0,3.0,91.45
279,Vadgaon Budruk,3,1252.0,3.0,55.0
280,Wadgaon Sheri,2,861.0,2.0,34.5
281,Viman Nagar,3,1420.0,2.0,100.0
283,Wagholi,3,1490.0,3.0,78.8
284,Wakadewadi,3,1075.0,2.0,46.0
285,Wanowrie,3,1425.0,2.0,94.0
286,Warje,2,1200.0,2.0,40.0
287,Yerawada,3,1280.0,2.0,56.0
288,Alandi Road,2,1084.0,2.0,50.0
289,Ambegaon Budruk,2,1015.0,2.0,25.88
290,Anandnagar,2,1017.0,2.0,51.25
291,Aundh,2,1027.0,2.0,44.0
292,Aundh Road,2,1069.0,2.0,45.0
293,Balaji Nagar,2,1349.0,2.0,98.2
294,Baner,2,1005.0,2.0,50.0
295,Baner road,2,1417.0,2.0,75.0
296,Bhandarkar Road,3,1475.0,3.0,98.0
297,Bhavani Peth,2,950.0,2.0,47.0
298,Bibvewadi,4,2000.0,4.0,120.0
300,Budhwar Peth,4,1863.0,3.0,104.0
301,Bund Garden Road,2,1010.0,2.0,29.5
302,Camp,3,1425.0,2.0,70.0
303,Chandan Nagar,3,1450.0,3.0,100.0
304,Dapodi,3,1847.0,3.0,105.0
305,Deccan Gymkhana,2,1100.0,2.0,45.0
306,Dehu Road,1,525.0,1.0,26.0
307,Dhankawadi,3,1665.0,3.0,95.0
308,Dhayari Phata,4,1664.0,4.0,65.0
309,Dhole Patil Road,3,1850.0,3.0,150.0
310,Erandwane,2,1438.0,2.0,100.0
311,Fatima Nagar,3,1560.0,3.0,115.0
312,Fergusson College Road,2,1350.0,2.0,55.55
313,Ganesh Peth,3,1550.0,3.0,67.0
314,Ganeshkhind,2,1140.0,2.0,46.5
316,Ghorpadi,2,850.0,2.0,27.0
317,Gokhale Nagar,2,1280.0,2.0,75.0
318,Gultekdi,2,1170.0,2.0,52.0
319,Guruwar peth,2,1113.0,2.0,51.0
320,Hadapsar,2,1385.0,2.0,83.09
321,Hadapsar Industrial Estate,2,1128.0,2.0,65.0
322,Hingne Khurd,2,1200.0,2.0,128.0
326,Karve Road,3,1464.0,3.0,56.0
327,Kasba Peth,2,1200.0,2.0,55.0
328,Katraj,2,1200.0,2.0,52.0
329,Khadaki,3,1150.0,2.0,55.0
330,Khadki,3,1645.0,3.0,95.0
331,Kharadi,2,1000.0,2.0,67.0
333,Kondhwa Budruk,2,1192.0,2.0,74.0
334,Kondhwa Khurd,3,2135.0,3.0,215.0
335,Koregaon Park,2,1173.0,2.0,58.0
336,Kothrud,2,1020.0,2.0,45.0
338,Laxmi Road,3,1600.0,3.0,64.0
339,Lulla Nagar,2,1200.0,2.0,79.0
340,Mahatma Gandhi Road,2,1230.0,2.0,48.0
341,Mangalwar peth,2,1250.0,2.0,40.0
342,Manik Bagh,2,1325.0,2.0,76.0
343,Market yard,3,1850.0,3.0,150.0
344,Model colony,1,525.0,2.69,21.53
345,Mukund Nagar,2,1200.0,2.0,65.0
346,Mundhawa,3,1350.0,2.0,140.0
347,Nagar Road,3,1260.0,3.0,49.36
348,Nana Peth,3,1800.0,3.0,150.0
350,Narayangaon,2,1100.0,2.0,43.25
351,Navi Peth,2,1508.0,2.0,77.0
352,Padmavati,3,1592.0,3.0,75.0
353,Parvati Darshan,2,1388.0,2.0,57.0
354,Pashan,1,630.0,1.0,28.35
356,Pirangut,3,1762.0,3.0,125.0
357,Prabhat Road,2,950.0,2.0,50.0
359,Rasta Peth,2,1116.0,2.0,50.0
360,Raviwar Peth,2,1308.0,2.0,89.04
361,Sadashiv Peth,3,1200.0,3.0,90.0
363,Salunke Vihar,1,500.0,1.0,18.5
364,Sasson Road,2,1075.0,2.0,52.0
365,Satara Road,1,530.0,1.0,11.66
366,Senapati Bapat Road,2,1205.0,2.0,66.0
367,Shaniwar Peth,2,1075.0,2.0,60.0
368,Shivaji Nagar,2,930.0,2.0,39.0
369,Shukrawar Peth,2,1380.0,2.0,60.0
370,Sinhagad Road,4,2483.0,5.0,212.0
371,Somwar Peth,2,1166.0,2.0,55.0
372,Swargate,2,1050.0,2.0,65.0
374,Uruli Devachi,2,1200.0,2.0,46.8
375,Vadgaon Budruk,3,1600.0,2.0,108.0
376,Wadgaon Sheri,3,1935.0,3.0,110.0
377,Viman Nagar,1,451.0,1.0,29.9
378,Vishrant Wadi,3,1800.0,3.0,95.0
379,Wagholi,3,1400.0,3.0,77.0
380,Wakadewadi,3,1801.0,3.0,115.0
381,Wanowrie,2,1451.0,2.0,90.0
382,Warje,2,1200.0,1.0,36.0
383,Yerawada,2,1160.0,2.0,44.0
384,Alandi Road,2,1000.0,2.0,25.0
385,Ambegaon Budruk,2,950.0,2.0,40.0
386,Anandnagar,3,1629.0,3.0,79.0
387,Aundh,3,1580.0,2.0,134.0
388,Aundh Road,3,1826.0,3.0,121.0
389,Balaji Nagar,2,1245.0,2.0,94.0
390,Baner,2,1145.0,2.0,45.79
391,Baner road,2,825.0,2.0,33.0
392,Bhandarkar Road,3,1693.0,3.0,108.0
393,Bhavani Peth,2,1113.27,2.0,53.0
394,Bibvewadi,2,1460.0,2.0,58.0
395,Bopodi,2,1050.0,2.0,32.0
396,Budhwar Peth,2,1260.0,2.0,55.0
398,Camp,2,1656.0,2.0,120.0
399,Chandan Nagar,3,1208.0,3.0,45.0
400,Dapodi,3,1910.0,3.0,161.0
402,Dehu Road,2,1200.0,2.0,65.0
404,Dhayari Phata,2,1175.0,2.0,82.0
406,Erandwane,4,1200.0,2.0,125.0
410,Ganeshkhind,1,1276.0,1.0,18.5
411,Ghorpade Peth,2,1185.0,2.0,38.0
412,Ghorpadi,2,750.0,2.0,38.0
414,Gultekdi,3,1550.0,3.0,64.5
415,Guruwar peth,3,1760.0,3.0,88.0
416,Hadapsar,2,1125.0,2.0,62.0
418,Hingne Khurd,2,1000.0,2.0,55.0
419,Jangali Maharaj Road,2,1090.0,2.0,31.48
420,Kalyani Nagar,2,1200.0,2.0,60.0
421,Karve Nagar,3,1991.0,4.0,103.0
422,Karve Road,2,1060.0,2.0,26.5
423,Kasba Peth,2,1105.0,2.0,75.0
424,Katraj,2,985.0,2.0,67.0
425,Khadaki,6,1533.0,5.0,85.0
426,Khadki,3,1590.0,3.0,79.0
427,Kharadi,2,1120.0,2.0,55.0
428,Kondhwa,2,1069.0,2.0,55.0
429,Kondhwa Budruk,3,1933.0,3.0,140.0
430,Kondhwa Khurd,2,1194.0,2.0,69.0
431,Koregaon Park,2,1150.0,2.0,69.0
432,Kothrud,2,1240.0,2.0,47.12
433,Law College Road,2,1419.0,2.0,48.1
436,Mahatma Gandhi Road,3,1450.0,3.0,55.0
437,Mangalwar peth,3,1630.0,3.0,68.29
438,Manik Bagh,2,708.0,1.0,40.0
439,Market yard,3,1000.0,4.0,110.0
441,Mukund Nagar,2,1250.0,2.0,76.0
442,Mundhawa,3,1400.0,2.0,95.0
443,Nagar Road,3,1670.0,2.0,57.0
444,Nana Peth,3,1750.0,3.0,100.0
445,Narayan Peth,2,1404.0,2.0,71.0
446,Narayangaon,3,1715.0,2.0,95.0
447,Navi Peth,1,630.0,1.0,34.65
448,Padmavati,3,1752.12,3.0,135.0
449,Parvati Darshan,3,1650.0,3.0,78.0
450,Pashan,2,1295.0,2.0,55.47
452,Pirangut,2,1346.0,2.0,74.03
454,Pune Railway Station,2,1150.0,2.0,55.0
456,Raviwar Peth,3,1190.0,2.0,30.35
457,Sadashiv Peth,3,1620.0,3.0,98.0
458,Sahakar Nagar,2,950.0,2.0,46.96
460,Sasson Road,3,2450.0,3.0,120.0
461,Satara Road,3,1220.0,2.0,35.23
462,Senapati Bapat Road,2,850.0,2.0,30.0
463,Shaniwar Peth,2,1020.0,2.0,63.0
464,Shivaji Nagar,2,1100.0,2.0,50.0
465,Shukrawar Peth,2,1150.0,2.0,126.0
466,Sinhagad Road,3,1760.0,2.0,130.0
467,Somwar Peth,3,1800.0,3.0,110.0
468,Swargate,2,1070.0,2.0,54.0
470,Uruli Devachi,2,1440.0,2.0,95.0
471,Vadgaon Budruk,2,900.0,2.0,40.0
473,Viman Nagar,2,1130.0,2.0,42.16
475,Wagholi,2,1270.0,2.0,98.0
476,Wakadewadi,2,1200.0,2.0,62.0
478,Warje,2,1200.0,2.0,74.0
479,Yerawada,2,929.0,2.0,50.17
484,Aundh Road,3,1464.0,3.0,56.0
486,Baner,4,2000.0,4.0,99.0
487,Baner road,2,1208.0,2.0,49.0
488,Bhandarkar Road,2,1130.0,2.0,60.0
489,Bhavani Peth,3,1753.0,3.0,120.0
491,Bopodi,3,600.0,3.0,58.0
492,Budhwar Peth,2,1196.0,2.0,94.42
493,Bund Garden Road,2,1150.0,3.0,52.5
494,Camp,2,1128.0,2.0,63.0
495,Chandan Nagar,2,1000.0,2.0,53.0
496,Dapodi,2,1035.0,2.0,45.0
497,Deccan Gymkhana,2,950.0,2.0,32.0
498,Dehu Road,3,1075.0,2.0,36.0
499,Dhankawadi,2,1040.0,2.0,48.5
500,Dhayari Phata,2,720.0,2.0,45.0
501,Dhole Patil Road,3,1511.0,3.0,95.0
502,Erandwane,3,1300.0,3.0,58.0
503,Fatima Nagar,3,1545.0,3.0,68.75
504,Fergusson College Road,1,375.0,2.0,26.0
505,Ganesh Peth,2,1062.0,2.0,38.0
506,Ganeshkhind,2,1115.0,2.0,40.0
507,Ghorpade Peth,2,1000.0,2.0,35.0
508,Ghorpadi,2,883.0,2.0,45.0
509,Gokhale Nagar,2,1195.0,2.0,70.0
511,Guruwar peth,1,700.0,1.0,41.0
512,Hadapsar,2,1246.0,2.0,67.0
515,Jangali Maharaj Road,4,1600.0,4.0,80.0
517,Karve Nagar,3,1584.0,3.0,65.0
519,Kasba Peth,3,1175.0,2.0,48.0
520,Katraj,3,1595.0,3.0,115.0
521,Khadaki,2,1353.0,2.0,110.0
522,Khadki,3,1599.0,3.0,125.0
523,Kharadi,2,1150.0,2.0,70.0
525,Kondhwa Budruk,2,1155.0,2.0,42.74
526,Kondhwa Khurd,1,1200.0,2.0,85.0
527,Koregaon Park,2,1000.0,2.0,25.0
529,Law College Road,3,1867.0,3.0,160.0
530,Laxmi Road,2,1251.0,2.0,47.0
531,Lulla Nagar,2,1028.0,2.0,45.5
532,Mahatma Gandhi Road,2,1222.0,2.0,45.0
533,Mangalwar peth,3,1170.0,2.0,66.0
534,Manik Bagh,3,2400.0,4.0,245.0
535,Market yard,3,1385.0,2.0,48.48
536,Model colony,2,1372.0,2.0,68.0
537,Mukund Nagar,3,1282.0,2.0,49.0
540,Nana Peth,2,1135.0,2.0,39.73
541,Narayan Peth,3,1768.0,3.0,101.0
542,Narayangaon,3,1325.0,2.0,90.0
543,Navi Peth,3,1599.0,3.0,99.0
544,Padmavati,3,1500.0,3.0,61.95
546,Pashan,2,1286.0,2.0,63.0
548,Pirangut,3,1600.0,2.0,50.0
549,Prabhat Road,2,1317.5,2.0,63.77
551,Rasta Peth,2,1102.0,2.0,53.67
552,Raviwar Peth,2,1350.0,2.0,54.0
553,Sadashiv Peth,3,1200.0,2.0,42.0
555,Salunke Vihar,2,1800.0,1.0,80.0
556,Sasson Road,2,950.0,2.0,40.0
557,Satara Road,1,525.0,1.0,27.25
558,Senapati Bapat Road,2,656.0,2.0,25.0
559,Shaniwar Peth,4,1780.0,4.0,175.0
560,Shivaji Nagar,2,1056.0,2.0,80.0
561,Shukrawar Peth,1,595.0,1.0,33.32
562,Sinhagad Road,2,1080.0,2.0,50.0
563,Somwar Peth,3,2225.0,3.0,160.0
564,Swargate,2,1126.0,2.0,28.15
565,Tilak Road,3,1490.0,3.0,84.0
567,Vadgaon Budruk,3,1550.0,3.0,100.0
568,Wadgaon Sheri,3,1600.0,3.0,86.0
569,Viman Nagar,2,1160.0,2.0,55.0
571,Wagholi,3,2100.0,3.0,125.0
572,Wakadewadi,2,1404.0,2.0,69.3
573,Wanowrie,4,2230.0,4.0,225.0
574,Warje,3,1544.0,3.0,120.0
575,Yerawada,3,1305.0,2.0,58.7
576,Alandi Road,2,1230.0,2.0,80.0
577,Ambegaon Budruk,2,1200.0,2.0,65.0
578,Anandnagar,3,1460.0,3.0,73.0
579,Aundh,2,1800.0,2.69,34.185
580,Aundh Road,2,967.0,2.0,45.0
581,Balaji Nagar,1,540.0,1.0,36.0
582,Baner,1,715.0,1.0,46.0
585,Bhavani Peth,2,1020.0,2.0,48.95
586,Bibvewadi,2,1020.0,2.0,40.0
587,Bopodi,2,1253.0,2.0,102.0
588,Budhwar Peth,2,1180.0,2.0,42.0
589,Bund Garden Road,2,961.0,2.0,38.0
590,Camp,3,1419.0,3.0,75.0
591,Chandan Nagar,3,1709.0,3.0,150.0
592,Dapodi,2,1600.0,2.0,115.0
593,Deccan Gymkhana,1,416.0,1.0,18.5
594,Dehu Road,2,1100.0,2.0,98.0
595,Dhankawadi,3,1430.0,2.0,65.0
596,Dhayari Phata,2,1260.0,2.0,45.0
597,Dhole Patil Road,3,1630.0,3.0,85.0
598,Erandwane,3,1249.0,3.0,44.71
599,Fatima Nagar,3,1450.0,2.0,85.0
602,Ganeshkhind,1,834.0,1.0,60.0
603,Ghorpade Peth,3,1125.0,4.0,70.0
604,Ghorpadi,3,2060.0,3.0,140.0
606,Gultekdi,2,891.0,2.0,25.0
607,Guruwar peth,2,1133.0,2.0,49.07
608,Hadapsar,3,1075.0,2.0,37.0
611,Jangali Maharaj Road,2,1200.0,2.0,55.0
612,Kalyani Nagar,2,1075.0,2.0,45.8
613,Karve Nagar,2,1140.0,2.0,40.0
616,Katraj,2,1090.0,2.0,42.0
617,Khadaki,4,1500.0,4.0,70.0
619,Kharadi,3,1790.0,3.0,100.0
620,Kondhwa,3,1920.0,3.0,134.0
621,Kondhwa Budruk,2,1374.0,2.0,95.0
622,Kondhwa Khurd,3,1445.0,3.0,95.0
623,Koregaon Park,1,711.0,1.0,36.0
624,Kothrud,3,1500.0,3.0,95.0
625,Law College Road,3,1720.0,3.0,100.0
626,Laxmi Road,3,1400.0,3.0,60.0
627,Lulla Nagar,2,1030.0,2.0,49.0
628,Mahatma Gandhi Road,2,1200.0,2.0,85.0
629,Mangalwar peth,3,1375.0,3.0,70.0
630,Manik Bagh,2,1050.0,1.0,56.0
631,Market yard,3,2250.0,3.0,160.0
632,Model colony,2,1000.0,2.0,50.0
633,Mukund Nagar,1,469.0,1.0,25.0
635,Nagar Road,2,883.0,2.0,29.0
636,Nana Peth,3,1820.0,2.0,86.0
637,Narayan Peth,3,1440.0,2.0,65.0
640,Padmavati,2,1225.0,2.0,48.0
642,Pashan,2,875.0,2.0,52.8
643,Paud Road,1,750.0,1.0,40.0
644,Pirangut,2,1180.0,2.0,80.0
645,Prabhat Road,2,1194.0,2.0,47.0
646,Pune Railway Station,3,1500.0,2.0,62.0
647,Rasta Peth,2,1160.0,2.0,52.2
649,Sadashiv Peth,3,2378.0,3.0,262.0
650,Sahakar Nagar,2,1128.0,2.0,60.0
651,Salunke Vihar,3,1500.0,3.0,150.0
652,Sasson Road,3,1220.0,2.0,35.23
653,Satara Road,2,1210.0,2.0,58.0
654,Senapati Bapat Road,3,1100.0,2.0,58.0
655,Shaniwar Peth,3,1200.0,3.0,46.0
657,Shukrawar Peth,3,1641.0,3.0,66.0
658,Sinhagad Road,2,1200.0,2.0,45.0
659,Somwar Peth,2,1260.0,2.0,67.39
660,Swargate,3,1720.0,3.0,78.0
661,Tilak Road,2,1132.5,2.0,48.13
662,Uruli Devachi,2,1210.0,2.0,45.98
663,Vadgaon Budruk,4,2200.0,4.0,200.0
664,Wadgaon Sheri,3,1075.0,2.0,45.0
665,Viman Nagar,3,1702.0,3.0,130.0
667,Wagholi,2,1141.0,2.0,38.55
668,Wakadewadi,3,2072.0,3.0,108.0
670,Warje,3,1200.0,2.0,70.0
671,Yerawada,3,1350.0,3.0,77.0
673,Ambegaon Budruk,3,1180.0,2.0,78.34
675,Aundh,2,1355.0,2.0,115.0
676,Aundh Road,1,600.0,1.0,50.0
678,Baner,3,1640.0,2.0,120.0
679,Baner road,5,1200.0,5.0,100.0
680,Bhandarkar Road,3,1190.0,2.0,57.0
682,Bibvewadi,2,1019.0,2.0,49.85
683,Bopodi,3,1875.0,3.0,165.0
684,Budhwar Peth,3,1250.0,3.0,40.0
686,Camp,2,1140.0,2.0,56.0
687,Chandan Nagar,3,1683.0,3.0,109.0
